"COLLEGE_CODE","PROGRAM_CODE","PROGRAM_DESC","MAJOR_CODE","MAJOR_DESC","KPI_DEGREE","KPI_DIVISION"
"1","1C17141","Conflict Resolution","0054","Conflict Resolution","Cypress College Degree","Cypress College Division"
"1","1S32966","Law Office Administration","0157","Law Office Administration","Cypress College Degree","Cypress College Division"
"1","1C17168B","Basic Tourism & Conference Mgt","0118","Basic Tourism & Conference Mgt","Cypress College Degree","Cypress College Division"
"2","2C08422","Cert: Musical Theatre","7880","Musical Theatre","Theatre Arts","Fine Arts"
"1","1C31343","Detail Technician","0128","Detail Technician","Cypress College Degree","Cypress College Division"
"1","1K00025","Auto Emission Cont Skill Cert","2660","Auto Emission Control Speclst","Cypress College Degree","Cypress College Division"
"1","1C12951","Commercial Music-Management","0048","Commercial Music-Management","Cypress College Degree","Cypress College Division"
"2","2C10624","Cert Machine Tech: Level II","7700","Machine Technology: Level II","Machine Technology","Tech and Engineering"
"1","1S12307","Retail Management","0480","Retail Management","Cypress College Degree","Cypress College Division"
"2","2A03830","AA Comm-Radio Broadcast","5220","Communications-Radio Broadcast","Journalism","Tech and Engineering"
"2","2C37106","Web Design","7421","Web Design","Computer Information Systems","Business"
"1","1C37961","Advertising and Emerging Tech","3271","Advertising and Emerging Tech","Cypress College Degree","Cypress College Division"
"1","1C31343L","Detail Technician","0128","Detail Technician","Cypress College Degree","Cypress College Division"
"1","1C12969N","Culinary Fundamentals","0109","Culinary Fundamentals","Cypress College Degree","Cypress College Division"
"2","2A13210","AA Textiles and Clothing","5920","Textiles and Clothing","Fashion","Tech and Engineering"
"1","1C12937B","CISCO Networking","0052","Cisco Networking","Cypress College Degree","Cypress College Division"
"2","2C00045","Cert Construction: Estimating","7960","Construction: Estimating","Construction Technology","Tech and Engineering"
"2","2C10616A","Athletic Coach","7051","Athletic Coach","Physical Education","Physical Education"
"1","1A39650","Law, Public Policy & Soc. AA-T","5833","Law, Public Policy & Soc. AA-T","Cypress College Degree","Cypress College Division"
"1","1C37064","Auto T-TEN Engn & Drvln Spec","8031","T-TEN Engine & Driveline Spec","Cypress College Degree","Cypress College Division"
"2","2C31128A","Pilates","8603","Pilates","Physical Education","Physical Education"
"1","1A39653","Global Studies AA-T","2997","Global Studies AA-T","Cypress College Degree","Cypress College Division"
"2","2C40663","Entry-Level Accounting","7006","Entry-Level Accounting","Accounting","Business"
"1","1S35448A","UAS Drone","0385","UAS Drone","Cypress College Degree","Cypress College Division"
"1","1A18368","Anthropology","0535","Anthropology","Cypress College Degree","Cypress College Division"
"2","2C40655","Auto Manual Drive Train Spec","8775","Auto Manual Drive Train Spec","Automotive","Tech and Engineering"
"2","2C12007","Cert Automotive Mgmt","7060","Automotive Management","Automotive","Tech and Engineering"
"1","1C31329M","Network Virtualization","3441","Network Virtualization","Cypress College Degree","Cypress College Division"
"1","1S37193","Theater Arts Production","0800","Theatre Arts Production","Cypress College Degree","Cypress College Division"
"1","1S39887","Environmental Science AS-T","5419","Environmental Science AS-T","Cypress College Degree","Cypress College Division"
"1","1A37580","SJS: African Amer. Stud. AA-T","5892","SJS: African Amer. Stud. AA-T","Cypress College Degree","Cypress College Division"
"1","1C42146N","AC3: Structural","2607","AC3: Structural","Cypress College Degree","Cypress College Division"
"1","1C42147N","AC2: Paint & Refinishing","2606","AC2: Paint & Refinishing","Cypress College Degree","Cypress College Division"
"1","1C31346N","Collision Repair I-CAR GOLD","0074","Collision Repair I-CAR GOLD","Cypress College Degree","Cypress College Division"
"1","1C31350N","Auto Coll Ctr Damage Appraiser","0136","Auto Coll Ctr Damage Appraiser","Cypress College Degree","Cypress College Division"
"1","1C31193N","Computer & Office Applications","0064","Computer & Office Applications","Cypress College Degree","Cypress College Division"
"1","1C12984N","Portrait & Wedding Photography","0041","Portrait & Wedding Photography","Cypress College Degree","Cypress College Division"
"2","2A37628A","Social Justice Studies: Gen","5942","Social Justice Studies: Gen","Sociology","Social Science"
"1","1A07860","Liberal Arts","0010","Liberal Arts","Cypress College Degree","Cypress College Division"
"2","2C31128","Cert Pilates","8600","Pilates","Physical Education","Physical Education"
"2","2C10621","Silkscreen Printing Cert","7850","Silkscreen Printing Cert","Printing Technology","Tech and Engineering"
"2","2A36995","Communication Studies","5203","Communication Studies","Communication Studies","Humanities"
"2","2C10615","Cert Aquatic Specialist","7030","Aquatic Specialist","Physical Education","Physical Education"
"2","2C00043","Cert Auto: Light Repair Spec","7956","Auto: Light Repair Spec","Automotive","Tech and Engineering"
"1","1C31200M","Post Prod. Basics Cinema/Video","2261","Post Prod. Basics Cinema/Video","Cypress College Degree","Cypress College Division"
"2","2C37762","Metrology","7701","Metrology","Machine Technology","Tech and Engineering"
"1","1C33356N","Legal Transcription","0162","Legal Transcription","Cypress College Degree","Cypress College Division"
"2","2C08403A","Public Relations","7251","Public Relations","Journalism","Tech and Engineering"
"2","2GE0024","CSU GE for STEM","8621","CSU GE for STEM","Counseling and Guidance","Counseling"
"1","1C21106N","Computer Programming","2091","Computer Programming","Cypress College Degree","Cypress College Division"
"2","2A03861","AA Fashion Journalism","5470","Fashion Journalism","Fashion","Tech and Engineering"
"2","2C00039","Cert Auto: Transmission Spec","7952","Auto: Transmission Spec","Automotive","Tech and Engineering"
"2","2C08422A","Musical Theatre Level I","7883","Musical Theatre Level I","Theatre Arts","Fine Arts"
"1","1C07840","Diagnostic Medical Sonography","2420","Ultrasound/Medical Sonography","Cypress College Degree","Cypress College Division"
"1","1C32628M","Microsoft Excel","0153","Microsoft Excel","Cypress College Degree","Cypress College Division"
"2","2S44110","Drone & Autonomous Systems","5391","Drone & Autonomous Systems","Autonomous Systems","Tech and Engineering"
"1","1C31197N","Game Programming","3653","Game Programming","Cypress College Degree","Cypress College Division"
"2","2A08438","AA Latin-American Studies","5640","Latin-American Studies","Counseling and Guidance","Counseling"
"2","2A03821","AA Microbiology","5710","Microbiology","Health Sciences","Natural Science"
"1","1C31349","Auto Collision Ctr Office Mgmt","0134","Auto Collision Ctr Office Mgmt","Cypress College Degree","Cypress College Division"
"2","2C37654","Theme Park Technology Spec","7882","Theme Park Technology Spec","Theatre Arts","Fine Arts"
"2","2C40669","Payroll Accounting","7008","Payroll Accounting","Accounting","Business"
"1","1C35422A","UAS Drone Basic","0386","UAS Drone Basic","Cypress College Degree","Cypress College Division"
"1","1C43440N","Scenic Design","0803","Scenic Design","Cypress College Degree","Cypress College Division"
"2","2A03881","AA Ethnic Studies","5440","Ethnic Studies","Ethnic Studies","Social Science"
"1","1I35056","CSU Gen. Edu. (CSU GE Breadth)","0176","CSU Gen. Edu. (CSU GE Breadth)","Cypress College Degree","Cypress College Division"
"1","1C30333","Court and Agency Services","0035","Court and Agency Services","Cypress College Degree","Cypress College Division"
"2","2A03853","AA Foreign Language","5500","Foreign Language","Foreign Language","Humanities"
"1","1S03762","Business Management","0300","Business Management","Cypress College Degree","Cypress College Division"
"2","2A08398A","Television and Film","5251","Television and Film","Cinema Film TV","Tech and Engineering"
"1","1C12956","Lighting/Audio Design","0044","Lighting and Audio Design","Cypress College Degree","Cypress College Division"
"1","1A32135","Kinesiology AA-T","0145","Kinesiology AA-T","Cypress College Degree","Cypress College Division"
"1","1S03788","Health Information Technology","0270","Health Information Technology","Cypress College Degree","Cypress College Division"
"2","2A36796","Child and Adolescent Dev AA-T","5163","Child and Adolescent Dev AA-T","Child Development and Education Studies","Social Science"
"1","1S31868","Physics AS-T","0098","Physics AS-T","Cypress College Degree","Cypress College Division"
"2","2S36799","Business Administration AS-T","5112","Business Administration AS-T","Business Management","Business"
"1","1S03790","Psychiatric Technology","0400","Psychiatric Technology","Cypress College Degree","Cypress College Division"
"2","2S08434","AS Paralegal Studies","5780","Paralegal Studies","Paralegal Studies","Business"
"1","1C07847","Victimology Cert","2590","Victimology","Cypress College Degree","Cypress College Division"
"1","1C21120","Food Service Management","2731","Food Service Management","Cypress College Degree","Cypress College Division"
"1","1S42259","Bus. Administration 2.0 AS-T","3539","Bus. Administration 2.0 AS-T","Cypress College Degree","Cypress College Division"
"2","2S42562","Business Administration2.0 AST","5114","Business Administration 2.0","Business Management","Business"
"1","1C37736N","ESL Mlstn-Pthwy LA/OC","5027","ESL Mlstn-Pthwy LA/OC","Cypress College Degree","Cypress College Division"
"2","2A03875","AA Psychology","5860","Psychology","Psychology","Social Science"
"1","1C31106N20","HVAC Codes and Estimating","2603","HVAC Codes and Estimating","Cypress College Degree","Cypress College Division"
"2","2S03839","AS Construction Technology","5320","Construction Technology","Construction Technology","Tech and Engineering"
"1","1C22918T","Aviation III Commercial Pilot","2918","Aviation III Commercial Pilot","Cypress College Degree","Cypress College Division"
"1","1C37110F","T-TEN Toyota & Lexus Spec.","2635","T-TEN Toyota & Lexus Spec.","Cypress College Degree","Cypress College Division"
"1","1S40220","T-TEN Certified Technician AS","8037","T-TEN Certified Technician AS","Cypress College Degree","Cypress College Division"
"2","2C10623A","Draft Tech: Ind Drafting ll","7481","Draft Tech: Ind Drafting ll","Manufacturing","Tech and Engineering"
"1","1S37246","Cyber Defense_AS","7922","Cyber Defense_AS","Cypress College Degree","Cypress College Division"
"2","2C21260A","Real Estate Management","7862","Real Estate Management","Real Estate","Business"
"1","1C37703","ESL Milestone-Pathway to SS","5024","ESL Mlstn-Pathway to Social Sc","Cypress College Degree","Cypress College Division"
"2","2A18800","AA Pre-Nursing","5841","Pre-Nursing","Health Sciences","Natural Science"
"2","2S03860A","Interior Design","5621","Interior Design","Interior Design","Tech and Engineering"
"1","1S03767","Computer Information Systems","0140","Computer Information Systems","Cypress College Degree","Cypress College Division"
"1","1C12974N","AutoTech: Engine Specialist","0117","AutoTech: Engine Specialist","Cypress College Degree","Cypress College Division"
"2","2A31525A","Elem Teacher Education AA-T","8312","Elem Teacher Education AA-T","Child Development and Education Studies","Social Science"
"1","1A03769A","Kinesiology","0391","Kinesiology AA","Cypress College Degree","Cypress College Division"
"1","1C21095N","Business Management","0061","Business Management","Cypress College Degree","Cypress College Division"
"2","2C18749A","Stage Management","8491","Stage Management","Theatre Arts","Fine Arts"
"1","1C03789","Radiology Technology","2410","Radiologic Technology","Cypress College Degree","Cypress College Division"
"2","2C19661","Cert Costume Stitcher","8440","Costume Stitcher","Theatre Arts","Fine Arts"
"1","1GD0019","CSU GE Area D Completed","0019","CSU GE Area D Completed","Cypress College Degree","Cypress College Division"
"1","1C03815","Computer Graphics","2250","Computer Graphics","Cypress College Degree","Cypress College Division"
"2","2C21270","Cert: Automotive Technology","7071","Automotive Technology","Automotive","Tech and Engineering"
"1","1C31491","Collision Repair Body Tech","2612","Collision Repair Body Tech","Cypress College Degree","Cypress College Division"
"1","1C30325","Elec. Diagnostic Specialist","0006","AutoTech: Electrical Diag Spec","Cypress College Degree","Cypress College Division"
"2","2A03866","AA English","5400","English","English","Humanities"
"1","1C30330","PC/Network Hardware Support","0009","PC/Network Hardware Support","Cypress College Degree","Cypress College Division"
"2","2C36692","Entertainment Arts","8680","Entertainment Arts","Digital Arts","Fine Arts"
"1","1C12955","Costume/Makeup Design","0012","Costume and Makeup Design","Cypress College Degree","Cypress College Division"
"1","1A32699","Anthropology AA-T","0155","Anthropology AA-T","Cypress College Degree","Cypress College Division"
"1","1S03772","Aviation Management","0110","Aviation Management","Cypress College Degree","Cypress College Division"
"1","1C21124","Adv Airline Customer Services","0242","Adv Airline Customer Services","Cypress College Degree","Cypress College Division"
"1","1C03814","Adv Flight Attendant Cert","2720","Adv Flight Attendant","Cypress College Degree","Cypress College Division"
"2","2C36702A","Cyber Security Technician","8671","Cyber Security Technician","Computer Information Systems","Business"
"1","1C15694","Animation 3D Computer Graphics","0039","Animation 3D Computer Graphics","Cypress College Degree","Cypress College Division"
"1","1S03763","Hotel Management","0281","Hospitality Management","Cypress College Degree","Cypress College Division"
"2","2C36709A","Biotech Biomanufacturing Tech","8641","Biotech Biomanufacturing Tech","Biology","Natural Science"
"2","2C10606","Cert Hort: Ornamental","7640","Hort: Ornamental","Horticultre","Natural Science"
"2","2C03843","Cert Machine Tech: Level I","7690","Machine Technology: Level I","Machine Technology","Tech and Engineering"
"1","1C03788","Health Information Tech Cert","2320","Health Info Tech","Cypress College Degree","Cypress College Division"
"1","1C12980M","Hotel Fundamentals","0282","Hotel Fundamentals","Cypress College Degree","Cypress College Division"
"1","1S37128","Assc. Sci. in Public Health","5823","Assc. Sci. Public Health","Cypress College Degree","Cypress College Division"
"1","1C31328","Professional Marketing","0124","Professional Marketing","Cypress College Degree","Cypress College Division"
"2","2A08398A","Television and Film","5254","Television and Film","Cinema Film TV","Tech and Engineering"
"1","1C12958B","Recording Arts","0049","Recording Arts","Cypress College Degree","Cypress College Division"
"2","2C10617A","Personal Trainer","7791","Personal Trainer","Physical Education","Physical Education"
"1","1C35020","Musical Theater Performance","0167","Musical Theatre Performance","Cypress College Degree","Cypress College Division"
"1","1C31343M","Detail Technician","0128","Detail Technician","Cypress College Degree","Cypress College Division"
"2","2C21265A","Radio Broadcasting","7264","Radio Broadcasting","Journalism","Tech and Engineering"
"1","1C35423T","UAS Drone Advanced","0384","UAS Drone Advanced","Cypress College Degree","Cypress College Division"
"2","2S08435","Environmental Sciences","5421","Environmental Sciences","Environmental Sciences","Natural Science"
"2","2C21256A","Business Management","7113","Business Management","Business Management","Business"
"2","2C36522A","Machine Technology: Level I","7692","Machine Technology: Level I","Machine Technology","Tech and Engineering"
"1","1C33734N","Basic Airport Operations","0172","Basic Airport Operations","Cypress College Degree","Cypress College Division"
"1","1C37971","Motion Design Certificate","3273","Motion Design Certificate","Cypress College Degree","Cypress College Division"
"1","1C35422","UAV/UAS Basic Certificate","3575","UAV/UAS Basic Certificate","Cypress College Degree","Cypress College Division"
"1","1C30325N","AutoTech: Electrical Diag Spec","0006","AutoTech: Electrical Diag Spec","Cypress College Degree","Cypress College Division"
"1","1C32627M","Project Management","0152","Project Management","Cypress College Degree","Cypress College Division"
"1","1C07828A","Fitness Specialist","2431","Fitness Specialist","Cypress College Degree","Cypress College Division"
"1","1C21096N","Small Business Management","0311","Small Business Management","Cypress College Degree","Cypress College Division"
"2","2C00054","Cert Crime Scene Investigation","8050","Crime Scene Investigation","Administration of Justice","Tech and Engineering"
"1","1C40978N","Business Information Worker","3017","Business Information Worker","Cypress College Degree","Cypress College Division"
"1","1C12978N","Digital Photography","0383","Digital Photography","Cypress College Degree","Cypress College Division"
"1","1A38265A","Health Sciences General Stud.","0188","Health Sciences General Stud.","Cypress College Degree","Cypress College Division"
"1","1S42390","Auto Collision I-CAR Gold","2619","Auto Collision I-CAR Gold","Cypress College Degree","Cypress College Division"
"2","2S03838A","Automotive Technology","5081","Automotive Technology","Automotive","Tech and Engineering"
"1","1C12955N","Costume and Makeup Design","0012","Costume and Makeup Design","Cypress College Degree","Cypress College Division"
"2","2A08415","AA Industrial Lab Technician","5600","Industrial Lab Technician","Horticultre","Natural Science"
"1","1K00071","Animation 3D Comp Graphics","3270","Animation 3D Computer Graphics","Cypress College Degree","Cypress College Division"
"2","2A03833","AA Industrial Arts","5590","Industrial Arts","Industrial Arts","Tech and Engineering"
"1","1C33100","Java Programming","0159","Java Programming","Cypress College Degree","Cypress College Division"
"2","2C00033","Cert Real Estate Sales Skills","7870","Real Estate Sales Skills","Real Estate","Business"
"1","1C31491N","Collision Repair Body Tech","2612","Collision Repair Body Tech","Cypress College Degree","Cypress College Division"
"1","1C40508N","Data Analytics","0201","Data Analytics","Cypress College Degree","Cypress College Division"
"2","2A39434","Africana Studies","5034","Africana Studies","Ethnic Studies","Social Science"
"2","2A42386","Social Work & Human Svs AA-T","5905","Social Work & Human Svs AA-T","Social Sciences","Social Science"
"2","2S36799A","Business Administration 2.0","5113","Business Administration2.0 AST","Business Management","Business"
"2","2C39272","Architecture Mini CAD","7042","Architecture Mini CAD","Architecture","Tech and Engineering"
"1","1C37194","Recreation Assistant","2451","Recreation Assistant","Cypress College Degree","Cypress College Division"
"1","1C37708NA","ESL Mlstn-Pthwy Kin/Public Hth","5035","ESL Mlstn-Pthwy Kin/Public Hth","Cypress College Degree","Cypress College Division"
"1","1C37958N","Storyboarding Certificate","3276","Storyboarding","Cypress College Degree","Cypress College Division"
"2","2C42887","Networking Skills","7119","Networking Skills","Computer Information Systems","Business"
"1","1C35423","UAV/UAS Advanced Certificate","3577","UAV/UAS Advanced Certificate","Cypress College Degree","Cypress College Division"
"1","1C12962M","Technical Theater","0045","Technical Theater","Cypress College Degree","Cypress College Division"
"2","2C40679","Auto Fabrication Specialist","8776","Auto Fabrication Specialist","Automotive","Tech and Engineering"
"1","1C13043","Multimedia Photography Cert","3560","Multimedia Photography","Cypress College Degree","Cypress College Division"
"2","2A40548","Asian/Pac Islander Amer St","5038","Asian/Pac Islander Amer St","Ethnic Studies","Social Science"
"1","1C21097","Retail Management","0481","Retail Management","Cypress College Degree","Cypress College Division"
"1","1I35090","IGETC","0177","IGETC","Cypress College Degree","Cypress College Division"
"2","2S36563","Early Childhood Education AS-T","8302","Early Childhood Education AS-T","Child Development and Education Studies","Social Science"
"1","1GH0014","US Hist American Inst Complete","0014","US Hist American Inst Complete","Cypress College Degree","Cypress College Division"
"2","2GS0025","CSU IGETC Cert Completed","0025","CSU IGETC Cert Complete","Counseling and Guidance","Counseling"
"1","1S07819","Court Reporting","0170","Court Reporting","Cypress College Degree","Cypress College Division"
"2","2C10619","Cert Print Tech: Adv Off Prswk","7800","Print Tech: Adv Offset Presswk","Printing Technology","Tech and Engineering"
"2","2A18165","IDS: Social Sciences","8340","IDS: Social Sciences","Counseling and Guidance","Counseling"
"1","1S37120","Biology AS-T","5101","Biology AS-T","Cypress College Degree","Cypress College Division"
"1","1C12975","Performance & Driveability","0105","AutoTech:Perf. & Drvbility Spe","Cypress College Degree","Cypress College Division"
"1","1C12962","Technical Theater","0045","Technical Theater","Cypress College Degree","Cypress College Division"
"1","1C31188","Air Conditioning Customer Serv","0077","Air Conditioning Customer Serv","Cypress College Degree","Cypress College Division"
"1","1C07845","Alcohol & Drug Studies Cert","2460","Alcohol & Drug Studies","Cypress College Degree","Cypress College Division"
"1","1S03786","Dental Assistant","0200","Dental Assisting","Cypress College Degree","Cypress College Division"
"1","1S07836","Medical Staff Services Mgt","0330","Medical Staff Services","Cypress College Degree","Cypress College Division"
"2","2A15305","AA Administration of Justice","5011","Administration of Justice","Administration of Justice","Tech and Engineering"
"1","1C33102","Visual C Programming","0158","Visual C Programming","Cypress College Degree","Cypress College Division"
"2","2C18746","Cert Lighting Technician","8460","Lighting Technician","Theatre Arts","Fine Arts"
"1","1C12970","Automotive Damage Appraisal","0116","Automotive Damage Appraisal","Cypress College Degree","Cypress College Division"
"2","2C16840B","Special Education","8323","Special Education","Child Development and Education Studies","Social Science"
"1","1C12972N","AutoTech: Brake & Align. Spec.","0102","AutoTech: Brake & Align. Spec.","Cypress College Degree","Cypress College Division"
"1","1C44370N","Psychiatric Technician Aide","0402","Psychiatric Technician Aide","Cypress College Degree","Cypress College Division"
"2","2C08403","Cert Comm: Public Relations","7250","Communicatns: Public Relations","Journalism","Tech and Engineering"
"2","2A31530","Music AA-T","5721","Music AA-T","Music","Fine Arts"
"2","2S03826","AS Real Estate Management","5870","Real Estate Management","Real Estate","Business"
"1","1C30290N","Digital Cinema Arts & Industry","0003","Digital Cinema Arts & Industry","Cypress College Degree","Cypress College Division"
"2","2C08417A","Welding Technology","7912","Welding Technology","Manufacturing","Tech and Engineering"
"1","1S37540","Nutrition and Dietetics AS-T","0181","Nutrition and Dietetics AS-T","Cypress College Degree","Cypress College Division"
"1","1C37707","ESL Mlstn-Ptwy DH/NURS/PSY TCH","5031","ESL Mlstn-Ptwy DH/NURS/PSY TCH","Cypress College Degree","Cypress College Division"
"2","2C37714","Volunteer Services Skills","8700","Volunteer Services Skills","Social Sciences","Social Science"
"1","1C14404N","Basic Flight Attendant","0113","Basic Flight Attendant","Cypress College Degree","Cypress College Division"
"1","1S43112","Chemistry AS for UC Transfer","0179","Chemistry AS for UC Transfer","Cypress College Degree","Cypress College Division"
"2","2A08436","AA Astronomy","5070","Astronomy","Physics","Natural Science"
"2","2S08439","AS Cosmetology Instructor","5340","Cosmetology Instructor","Cosmetology","Tech and Engineering"
"2","2C36689A","Cyber Security Analyst","8651","Cyber Security Analyst","Computer Information Systems","Business"
"1","1C07825","Geographic Info System Cert","2550","Geographic Info Systems","Cypress College Degree","Cypress College Division"
"1","1GB0017","CSU GE Area B Completed","0017","CSU GE Area B Completed","Cypress College Degree","Cypress College Division"
"2","2A03848","AA Music","5720","Music","Music","Fine Arts"
"1","1C12358","Vector Illustration","3330","Vector Illustration","Cypress College Degree","Cypress College Division"
"2","2C21255","Cert: Accounting","7001","Accounting","Accounting","Business"
"1","1C33356","Legal Transcription","0162","Legal Transcription","Cypress College Degree","Cypress College Division"
"1","1C12968","Baking Fundamentals","0106","Baking Fundamentals","Cypress College Degree","Cypress College Division"
"2","2C21267","Cert: Computer Info Systems","7361","Computer Information Systems","Computer Information Systems","Business"
"2","2S08388","AS Entrepreneurship","5410","Entrepreneurship","Business Management","Business"
"1","1C21114","Radiologic Technology","2411","Radiologic Technology","Cypress College Degree","Cypress College Division"
"1","1C07821","CART","3030","CART-CommAccessRealtime Trans.","Cypress College Degree","Cypress College Division"
"1","1A03782","Photography","0510","Photography","Cypress College Degree","Cypress College Division"
"2","2C16840","Cert Para-Professional in Educ","8320","Para-Professional in Educ","Child Development and Education Studies","Social Science"
"1","1C30459","Legal Administrative Assistant","3011","Legal Administrative Assistant","Cypress College Degree","Cypress College Division"
"2","2C13209","Cert Int Design: Residential","7680","Interior Design: Residential","Interior Design","Tech and Engineering"
"2","2A03872","AA Physics","5820","Physics","Physics","Natural Science"
"2","2S03840A","Industrial Drafting","5361","Industrial Drafting","Manufacturing","Tech and Engineering"
"1","1C30331","Microsoft Networking","0032","Microsoft Networking","Cypress College Degree","Cypress College Division"
"1","1C30326","AutoTech: Maintenance Techn.","0007","AutoTech: Maintenance Techn.","Cypress College Degree","Cypress College Division"
"1","1S37048","Administration of Justice AS-T","5022","Administration of Justice AS-T","Cypress College Degree","Cypress College Division"
"1","1S12078","General Studies","0030","General Studies AS","Cypress College Degree","Cypress College Division"
"1","1S07816","Administrative Assistant","0050","Administrative Assistant","Cypress College Degree","Cypress College Division"
"1","1A16600","Psychology","3550","Psychology","Cypress College Degree","Cypress College Division"
"2","2C18748","Cert Sound Technician","8480","Sound Technician","Theatre Arts","Fine Arts"
"1","1K00552","Special Event Mgt Skill Cert","0520","Special Event Management","Cypress College Degree","Cypress College Division"
"1","1K00030","Restaurant/Lodge Entrepeneur","2770","Restaurant/Lodge Ent","Cypress College Degree","Cypress College Division"
"2","2A03865","AA Nutrition and Foods","5740","Nutrition and Foods","Nutrition and Foods","Natural Science"
"1","1A16881","Philosophy","3561","Philosophy","Cypress College Degree","Cypress College Division"
"1","1C32702","Database Management","2092","Database Management","Cypress College Degree","Cypress College Division"
"1","1A03807","Ethnic Studies","0360","Ethnic Studies","Cypress College Degree","Cypress College Division"
"1","1S31935","Geology AS-T","0099","Geology AS-T","Cypress College Degree","Cypress College Division"
"1","1C37117","Auto TTEN Electrical","8033","T-TEN Electrical","Cypress College Degree","Cypress College Division"
"1","1C30330M","PC/Network Hardware Support","0009","PC/Network Hardware Support","Cypress College Degree","Cypress College Division"
"1","1C21098N","Marketing","2151","Marketing","Cypress College Degree","Cypress College Division"
"1","1C33780M","Cyber Security","0171","Cyber Security","Cypress College Degree","Cypress College Division"
"2","2C36819","Theme Park Technician","7881","Theme Park Technician","Theatre Arts","Fine Arts"
"1","1C37208N","Air Cond & Refrig Proj Mgmt","2601","Air Cond & Refrig Proj Mgmt","Cypress College Degree","Cypress College Division"
"2","2C36522","Machine Technology: Level I","7691","Machine Technology: Level I","Machine Technology","Tech and Engineering"
"1","1C21120T","Food & Beverage Management","0249","Food & Beverage Management","Cypress College Degree","Cypress College Division"
"1","1C39278N","Administration of Justice","2469","Administration of Justice","Cypress College Degree","Cypress College Division"
"1","1C31187T","Aviation Management","0065","Aviation Management","Cypress College Degree","Cypress College Division"
"1","1A03777","Music","0370","Music","Cypress College Degree","Cypress College Division"
"1","1C12951M","Commercial Music-Management","0048","Commercial Music-Management","Cypress College Degree","Cypress College Division"
"1","1A43849","Communication Studies 2.0 AA-T","0185","Communication Studies 2.0 AA-T","Cypress College Degree","Cypress College Division"
"1","1C37708","ESL Milestone-Pathway to KIN","5028","ESL Mlstn-Pathway to KIN","Cypress College Degree","Cypress College Division"
"1","1S07832","Automotive Collision Repair","0090","Auto Collision Repair","Cypress College Degree","Cypress College Division"
"1","1C37748","Creative Writing","5023","Creative Writing","Cypress College Degree","Cypress College Division"
"1","1GKC013","CSU IGETC Partial Cert","0028","CSU IGETC Partial Cert","Cypress College Degree","Cypress College Division"
"1","1C42145N","AC1: Detail Technician","2605","AC1: Detail Technician","Cypress College Degree","Cypress College Division"
"2","2S33890","Earth Science","5533","Earth Science","Earth Sciences","Natural Science"
"1","1C35041N","Sustainable Energy","0169","Sustainable Energy","Cypress College Degree","Cypress College Division"
"2","2C37107B","Real Estate Brokers","7777","Real Estate Brokers","Real Estate","Business"
"1","1C31492N","Collision Repair Tech Asst","2613","Collision Repair Tech Asst","Cypress College Degree","Cypress College Division"
"1","1C42342N","AC4: Appraisal & Management","2616","AC4: Appraisal & Management","Cypress College Degree","Cypress College Division"
"2","2C36709","Biotech Biomanufacturing Tech","8640","Biotech Biomanufacturing Tech","Biology","Natural Science"
"1","1C31330N","Captioning","2031","Captioning","Cypress College Degree","Cypress College Division"
"1","1S42345","AC Advanced Technician","2617","AC Advanced Technician","Cypress College Degree","Cypress College Division"
"1","1C41003N","Yoga Teacher Training (200-hr)","2432","Yoga Teacher Training (200-hr)","Cypress College Degree","Cypress College Division"
"1","1C12982","Insurance Co/Auto Coll Repair","0112","Insurance Co/Auto Coll Repair","Cypress College Degree","Cypress College Division"
"2","2C00034","Cert CIS: Networking","7920","CIS: Networking","Computer Information Systems","Business"
"1","1C31342","Small Business Operations","0085","Small Business Operations","Cypress College Degree","Cypress College Division"
"1","1C03761","Accounting Certificate","2000","Accounting","Cypress College Degree","Cypress College Division"
"1","1C31341","Adv Coll Repr Paint Technician","0129","Adv Coll Repr Paint Technician","Cypress College Degree","Cypress College Division"
"2","2S31528","Geology AS-T","5531","Geology AS-T","Earth Sciences","Natural Science"
"2","2C00038","Cert Auto: Maintenance Spec","7951","Auto: Maintenance Spec","Automotive","Tech and Engineering"
"2","2C00040","Cert Auto: Emission Ctrl Spec","7953","Auto: Emission Ctrl Spec","Automotive","Tech and Engineering"
"1","1C17169B","Homeland Transport Security","0111","Homeland Transport Security","Cypress College Degree","Cypress College Division"
"1","1C17172B","Business Economics","0051","Business Economics","Cypress College Degree","Cypress College Division"
"2","2C21258A","International Business Skills","7124","International Business Skills","Business Management","Business"
"2","2C36478A","Radio Broadcast News","7263","Radio Broadcast News","Journalism","Tech and Engineering"
"2","2C40654A","Automotive Light Repair","8779","Automotive Light Repair","Automotive","Tech and Engineering"
"2","2C40655A","Auto Manual Drive Train","8761","Auto Manual Drive Train","Automotive","Tech and Engineering"
"2","2C40638","CNC Operator","7711","CNC Operator","Machine Technology","Tech and Engineering"
"2","2A42534","Soc Justice Studies-Gender St","5943","Soc Justice Studies-Gender St","Sociology","Social Science"
"2","2C43846","ESL Cert of Profic Acad Engl","7252","ESL Cert of Profic Acad Engl","English","Humanities"
"2","2C37148C","Web Design Skills","7426","Web Design Skills","Computer Information Systems","Business"
"2","2C03825","Cert Bus Mgmt: Marketing Mgmt","7130","Bus Mgmt: Marketing Mgmt","Marketing","Business"
"2","2C10621A","Screen Printing","7852","Screen Printing","Printing Technology","Tech and Engineering"
