"COLLEGE_CODE","PROGRAM_CODE","PROGRAM_DESC","MAJOR_CODE","MAJOR_DESC","KPI_DEGREE","KPI_DIVISION"
"1","1A39449A","Global Studies","2994","Global Studies","Cypress College Degree","Cypress College Division"
"2","2C42394","Dietary Manager","5744","Dietary Manager","Nutrition and Foods","Natural Science"
"1","1A41264","SJS: Native Amer. Stud. AA-T","5894","SJS: Native Amer. Stud. AA-T","Cypress College Degree","Cypress College Division"
"2","1C07845A","Addiction Studies Cert","2461","Addiction Studies Cert","Cypress College Degree","Cypress College Division"
"2","2C00037","Cert Auto: Chassis Spec","7950","Auto: Chassis Spec","Automotive","Tech and Engineering"
"1","1C07848","Food Service Mgmt Cert","2730","Food Service Management","Cypress College Degree","Cypress College Division"
"1","1A03779A","Theatre Arts Performance","0441","Theater Arts Performance","Cypress College Degree","Cypress College Division"
"1","1C31349N","Auto Collision Ctr Office Mgmt","0134","Auto Collision Ctr Office Mgmt","Cypress College Degree","Cypress College Division"
"1","1C31332N","Adv Coll Repr Structural Tech","0091","Adv Coll Repr Structural Tech","Cypress College Degree","Cypress College Division"
"2","2C36664","Product Dev Apparel Industries","8291","Product Dev Apparel Industries","Fashion","Tech and Engineering"
"1","1C40986T","Food Science Fundamentals","0184","Food Science Fundamentals","Cypress College Degree","Cypress College Division"
"1","1C21099","Merchandising","2171","Merchandising","Cypress College Degree","Cypress College Division"
"1","1C40985M","Data Management","2093","Data Management","Cypress College Degree","Cypress College Division"
"2","2C40677","Computer Game Program Skills","7373","Computer Game Program Skills","Computer Information Systems","Business"
"1","1C40744N","Music Teacher Technology","3001","Music Teacher Technology","Cypress College Degree","Cypress College Division"
"1","1C44074N","Yoga Therapy (300-hr)","2433","Yoga Therapy (300-hr)","Cypress College Degree","Cypress College Division"
"1","1C42221P","CSR-RPR Skills","2112","CSR-RPR Skills","Cypress College Degree","Cypress College Division"
"2","2S41936","Chemistry for UC Transfer","5144","Chemistry for UC Transfer","Child Development and Education Studies","Social Science"
"1","1O12345","Undeclared Major","0000","Undeclared Major","Cypress College Degree","Cypress College Division"
"2","2S31531","Business Administration AS-T","5111","Business Administration AS-T","Business Management","Business"
"2","2GE0023","CSU General Ed Certification","0023","CSU General Ed Certification","Counseling and Guidance","Counseling"
"1","1S31295","Business Administration","0088","Business Administration AS-T","Cypress College Degree","Cypress College Division"
"2","2A03873","AA Chemistry","5140","Chemistry","Chemistry","Natural Science"
"2","2C10617","Cert Personal Trainer","7790","Personal Trainer","Physical Education","Physical Education"
"2","2S03834","AS Engineering","5390","Engineering","Engineering","Tech and Engineering"
"1","1S12296","Small Business Management","0310","Small Business Management","Cypress College Degree","Cypress College Division"
"2","2A03886","AA Sociology","5900","Sociology","Sociology","Social Science"
"1","1C12976","Transmission Specialist","0108","AutoTech: Trans. Spec.","Cypress College Degree","Cypress College Division"
"1","1C03787","Dental Hygienist","2300","Dental Hygienist","Cypress College Degree","Cypress College Division"
"1","1A31002","Communication Studies","0081","Communication Studies","Cypress College Degree","Cypress College Division"
"1","1C21113","Health Information Technology","0271","Health Information Technology","Cypress College Degree","Cypress College Division"
"1","1C21117","Dental Assistant","2291","Dental Assisting","Cypress College Degree","Cypress College Division"
"1","1C21122","Human Services Generalist","2481","Human Services Generalist","Cypress College Degree","Cypress College Division"
"2","2C08419","Cert: Piano Teaching","7730","Piano Teaching","Music","Fine Arts"
"2","2C18742","Cert Illustration","8400","Illustration","Art","Fine Arts"
"2","2C36483","IGETC Gen Ed Certificate","8610","IGETC Gen Ed Certificate","Counseling and Guidance","Counseling"
"2","2A31581","Kinesiology AA-T","5802","Kinesiology AA-T","Physical Education","Physical Education"
"2","2S41929","Biology","5103","Biology","Biology","Natural Science"
"2","2A36916","Communication Studies AA-T","5202","Communication Studies AA-T","Communication Studies","Humanities"
"1","1C07845A","Addiction Studies Cert","2461","Addiction Studies Cert","Cypress College Degree","Cypress College Division"
"2","2C21265","Cert: Radio Broadcasting","7261","Radio Broadcasting","Journalism","Tech and Engineering"
"2","2C39439","Digital Marketing","7125","Digital Marketing","Marketing","Business"
"2","2C21275B","Paralegal Studies","7792","Paralegal Studies","Paralegal Studies","Business"
"1","1C37720N","ESL Mlstn-Pathway to SEM","5025","ESL Mlstn-Pathway to SEM","Cypress College Degree","Cypress College Division"
"2","2A36863","Kinesiology AA-T","5803","Kinesiology AA-T","Physical Education","Physical Education"
"1","1S37193A","Theatre Design","0801","Theatre Design","Cypress College Degree","Cypress College Division"
"1","1C03790","Psychiatric Technology","2390","Psychiatric Technician","Cypress College Degree","Cypress College Division"
"1","1A38265","General Studies Health Sci","0178","General Studies Health Sci","Cypress College Degree","Cypress College Division"
"2","2A17369","AA Physical Education","5801","Physical Education","Physical Education","Physical Education"
"2","2C44439","Drone Bus & Entreprenenurship","7245","Drone Bus & Entreprenenurship","Journalism","Tech and Engineering"
"2","2S03825","AS Marketing Management","5680","Marketing Management","Marketing","Business"
"1","1C39164N","Communication","5204","Communication","Cypress College Degree","Cypress College Division"
"1","1S03770","Pre Engineering","0230","Pre-Engineering","Cypress College Degree","Cypress College Division"
